/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:12<00:00,  4.24s/it]
RANK-0 training started !
/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:04<00:00,  1.64s/it]
  0%|                                                                                                                                 | 0/16 [00:00<?, ?it/s]/pfs/rl-train/wenhaoli/spotlight/train.py:332: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  length = torch.tensor(length, dtype=torch.int64, device=local_rank)
100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 16/16 [01:15<00:00,  4.70s/it]
layer:     0 | step:   188 | loss: 0.574 | iou: 0.136
layer:     0 | step:   189 | loss: 0.571 | iou: 0.155
layer:     0 | step:   190 | loss: 0.560 | iou: 0.153
layer:     0 | step:   191 | loss: 0.569 | iou: 0.151
100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 16/16 [01:15<00:00,  4.70s/it]
layer:     0 | step:   192 | loss: 0.555 | iou: 0.150
layer:     0 | step:   193 | loss: 0.549 | iou: 0.139
layer:     0 | step:   194 | loss: 0.563 | iou: 0.136
layer:     0 | step:   195 | loss: 0.550 | iou: 0.169
layer:     0 | step:   196 | loss: 0.559 | iou: 0.153
layer:     0 | step:   197 | loss: 0.526 | iou: 0.138
layer:     0 | step:   198 | loss: 0.562 | iou: 0.147
layer:     0 | step:   199 | loss: 0.562 | iou: 0.149
layer:     0 | step:   200 | loss: 0.543 | iou: 0.153
layer:     0 | step:   201 | loss: 0.546 | iou: 0.149
layer:     0 | step:   202 | loss: 0.543 | iou: 0.154
layer:     0 | step:   203 | loss: 0.545 | iou: 0.147
layer:     0 | step:   204 | loss: 0.565 | iou: 0.142
layer:     0 | step:   205 | loss: 0.550 | iou: 0.138
layer:     0 | step:   206 | loss: 0.561 | iou: 0.142
layer:     0 | step:   207 | loss: 0.551 | iou: 0.143
layer:     0 | step:   208 | loss: 0.551 | iou: 0.157
layer:     0 | step:   209 | loss: 0.547 | iou: 0.139
layer:     0 | step:   210 | loss: 0.562 | iou: 0.153
layer:     0 | step:   211 | loss: 0.543 | iou: 0.147
layer:     0 | step:   212 | loss: 0.562 | iou: 0.147
layer:     0 | step:   213 | loss: 0.548 | iou: 0.144
layer:     0 | step:   214 | loss: 0.536 | iou: 0.178
layer:     0 | step:   215 | loss: 0.546 | iou: 0.164
layer:     0 | step:   216 | loss: 0.530 | iou: 0.150
layer:     0 | step:   217 | loss: 0.558 | iou: 0.146
layer:     0 | step:   218 | loss: 0.544 | iou: 0.156
layer:     0 | step:   219 | loss: 0.536 | iou: 0.165
layer:     0 | step:   220 | loss: 0.543 | iou: 0.170
layer:     0 | step:   221 | loss: 0.509 | iou: 0.161
layer:     0 | step:   222 | loss: 0.536 | iou: 0.168
layer:     0 | step:   223 | loss: 0.544 | iou: 0.171
layer:     0 | step:   224 | loss: 0.541 | iou: 0.157
layer:     0 | step:   225 | loss: 0.514 | iou: 0.148
layer:     0 | step:   226 | loss: 0.526 | iou: 0.147
layer:     0 | step:   227 | loss: 0.534 | iou: 0.156
layer:     0 | step:   228 | loss: 0.528 | iou: 0.159
layer:     0 | step:   229 | loss: 0.533 | iou: 0.170
